Hand { string: 23KAQ, score: 23dec, hand_type: HighCard, bid: 361}
Hand { string: QA798, score: ce798, hand_type: HighCard, bid: 588}
Hand { string: QA87T, score: ce87a, hand_type: HighCard, bid: 729}
Hand { string: QAK7T, score: ced7a, hand_type: HighCard, bid: 653}
Hand { string: K259T, score: d259a, hand_type: HighCard, bid: 762}
Hand { string: K365A, score: d365e, hand_type: HighCard, bid: 965}
Hand { string: K462T, score: d462a, hand_type: HighCard, bid: 146}
Hand { string: K587A, score: d587e, hand_type: HighCard, bid: 627}
Hand { string: K5A68, score: d5e68, hand_type: HighCard, bid: 672}
Hand { string: K62Q5, score: d62c5, hand_type: HighCard, bid: 300}
Hand { string: K73QA, score: d73ce, hand_type: HighCard, bid: 4}
Hand { string: K835T, score: d835a, hand_type: HighCard, bid: 944}
Hand { string: KTQA2, score: dace2, hand_type: HighCard, bid: 521}
Hand { string: KA3TQ, score: de3ac, hand_type: HighCard, bid: 297}
Hand { string: A4867, score: e4867, hand_type: HighCard, bid: 723}
Hand { string: A9354, score: e9354, hand_type: HighCard, bid: 431}
Hand { string: AT486, score: ea486, hand_type: HighCard, bid: 731}
Hand { string: AT487, score: ea487, hand_type: HighCard, bid: 630}
Hand { string: AT8K7, score: ea8d7, hand_type: HighCard, bid: 784}
Hand { string: ATQ35, score: eac35, hand_type: HighCard, bid: 711}
Hand { string: AQ367, score: ec367, hand_type: HighCard, bid: 759}
Hand { string: AK64T, score: ed64a, hand_type: HighCard, bid: 882}
Hand { string: J2346, score: 12346, hand_type: OnePair, bid: 867}
Hand { string: J24Q3, score: 124c3, hand_type: OnePair, bid: 638}
Hand { string: J3Q49, score: 13c49, hand_type: OnePair, bid: 970}
Hand { string: J654K, score: 1654d, hand_type: OnePair, bid: 600}
Hand { string: J69T7, score: 169a7, hand_type: OnePair, bid: 79}
Hand { string: J7T63, score: 17a63, hand_type: OnePair, bid: 871}
Hand { string: J825A, score: 1825e, hand_type: OnePair, bid: 504}
Hand { string: J8369, score: 18369, hand_type: OnePair, bid: 63}
Hand { string: J9423, score: 19423, hand_type: OnePair, bid: 335}
Hand { string: J9427, score: 19427, hand_type: OnePair, bid: 184}
Hand { string: J9KQT, score: 19dca, hand_type: OnePair, bid: 192}
Hand { string: JQ37T, score: 1c37a, hand_type: OnePair, bid: 138}
Hand { string: JQK63, score: 1cd63, hand_type: OnePair, bid: 646}
Hand { string: JK692, score: 1d692, hand_type: OnePair, bid: 793}
Hand { string: JK6Q8, score: 1d6c8, hand_type: OnePair, bid: 582}
Hand { string: 2J63T, score: 2163a, hand_type: OnePair, bid: 709}
Hand { string: 229TA, score: 229ae, hand_type: OnePair, bid: 379}
Hand { string: 234J5, score: 23415, hand_type: OnePair, bid: 216}
Hand { string: 2376J, score: 23761, hand_type: OnePair, bid: 742}
Hand { string: 239JQ, score: 2391c, hand_type: OnePair, bid: 534}
Hand { string: 23QQK, score: 23ccd, hand_type: OnePair, bid: 331}
Hand { string: 2492A, score: 2492e, hand_type: OnePair, bid: 633}
Hand { string: 249QQ, score: 249cc, hand_type: OnePair, bid: 371}
Hand { string: 24T99, score: 24a99, hand_type: OnePair, bid: 125}
Hand { string: 25T8T, score: 25a8a, hand_type: OnePair, bid: 19}
Hand { string: 268JA, score: 2681e, hand_type: OnePair, bid: 85}
Hand { string: 27JTQ, score: 271ac, hand_type: OnePair, bid: 561}
Hand { string: 278Q7, score: 278c7, hand_type: OnePair, bid: 191}
Hand { string: 29TQT, score: 29aca, hand_type: OnePair, bid: 253}
Hand { string: 29K72, score: 29d72, hand_type: OnePair, bid: 353}
Hand { string: 2T77K, score: 2a77d, hand_type: OnePair, bid: 566}
Hand { string: 2AKKT, score: 2edda, hand_type: OnePair, bid: 532}
Hand { string: 3J7QA, score: 317ce, hand_type: OnePair, bid: 685}
Hand { string: 3JKQA, score: 31dce, hand_type: OnePair, bid: 716}
Hand { string: 3278J, score: 32781, hand_type: OnePair, bid: 168}
Hand { string: 3484A, score: 3484e, hand_type: OnePair, bid: 94}
Hand { string: 34Q6Q, score: 34c6c, hand_type: OnePair, bid: 530}
Hand { string: 35J82, score: 35182, hand_type: OnePair, bid: 386}
Hand { string: 35288, score: 35288, hand_type: OnePair, bid: 295}
Hand { string: 3534A, score: 3534e, hand_type: OnePair, bid: 456}
Hand { string: 36JK4, score: 361d4, hand_type: OnePair, bid: 22}
Hand { string: 36467, score: 36467, hand_type: OnePair, bid: 123}
Hand { string: 367T3, score: 367a3, hand_type: OnePair, bid: 615}
Hand { string: 37668, score: 37668, hand_type: OnePair, bid: 286}
Hand { string: 388Q5, score: 388c5, hand_type: OnePair, bid: 7}
Hand { string: 38QTQ, score: 38cac, hand_type: OnePair, bid: 780}
Hand { string: 39JAK, score: 391ed, hand_type: OnePair, bid: 753}
Hand { string: 3969K, score: 3969d, hand_type: OnePair, bid: 805}
Hand { string: 39896, score: 39896, hand_type: OnePair, bid: 288}
Hand { string: 3T454, score: 3a454, hand_type: OnePair, bid: 175}
Hand { string: 3T5J4, score: 3a514, hand_type: OnePair, bid: 477}
Hand { string: 3Q5A3, score: 3c5e3, hand_type: OnePair, bid: 636}
Hand { string: 3QA4A, score: 3ce4e, hand_type: OnePair, bid: 868}
Hand { string: 3AJ9Q, score: 3e19c, hand_type: OnePair, bid: 399}
Hand { string: 3A9J7, score: 3e917, hand_type: OnePair, bid: 928}
Hand { string: 3AA9T, score: 3ee9a, hand_type: OnePair, bid: 329}
Hand { string: 4J3QT, score: 413ca, hand_type: OnePair, bid: 787}
Hand { string: 4JT67, score: 41a67, hand_type: OnePair, bid: 164}
Hand { string: 4287J, score: 42871, hand_type: OnePair, bid: 80}
Hand { string: 42Q5J, score: 42c51, hand_type: OnePair, bid: 330}
Hand { string: 43253, score: 43253, hand_type: OnePair, bid: 942}
Hand { string: 43425, score: 43425, hand_type: OnePair, bid: 359}
Hand { string: 43KJ5, score: 43d15, hand_type: OnePair, bid: 813}
Hand { string: 43K7J, score: 43d71, hand_type: OnePair, bid: 309}
Hand { string: 4489A, score: 4489e, hand_type: OnePair, bid: 394}
Hand { string: 44K87, score: 44d87, hand_type: OnePair, bid: 139}
Hand { string: 462K6, score: 462d6, hand_type: OnePair, bid: 876}
Hand { string: 46977, score: 46977, hand_type: OnePair, bid: 492}
Hand { string: 482JT, score: 4821a, hand_type: OnePair, bid: 338}
Hand { string: 494TK, score: 494ad, hand_type: OnePair, bid: 332}
Hand { string: 4T52T, score: 4a52a, hand_type: OnePair, bid: 550}
Hand { string: 4K8TJ, score: 4d8a1, hand_type: OnePair, bid: 666}
Hand { string: 4KTQ4, score: 4dac4, hand_type: OnePair, bid: 658}
Hand { string: 4AJ8Q, score: 4e18c, hand_type: OnePair, bid: 698}
Hand { string: 5J468, score: 51468, hand_type: OnePair, bid: 730}
Hand { string: 5J9TA, score: 519ae, hand_type: OnePair, bid: 877}
Hand { string: 52773, score: 52773, hand_type: OnePair, bid: 713}
Hand { string: 53T38, score: 53a38, hand_type: OnePair, bid: 406}
Hand { string: 54649, score: 54649, hand_type: OnePair, bid: 512}
Hand { string: 55K8A, score: 55d8e, hand_type: OnePair, bid: 160}
Hand { string: 562KJ, score: 562d1, hand_type: OnePair, bid: 806}
Hand { string: 57434, score: 57434, hand_type: OnePair, bid: 344}
Hand { string: 58Q54, score: 58c54, hand_type: OnePair, bid: 767}
Hand { string: 59J7A, score: 5917e, hand_type: OnePair, bid: 46}
Hand { string: 5TKJ2, score: 5ad12, hand_type: OnePair, bid: 53}
Hand { string: 5Q7J2, score: 5c712, hand_type: OnePair, bid: 974}
Hand { string: 5Q992, score: 5c992, hand_type: OnePair, bid: 526}
Hand { string: 5A797, score: 5e797, hand_type: OnePair, bid: 601}
Hand { string: 5A939, score: 5e939, hand_type: OnePair, bid: 917}
Hand { string: 6J79K, score: 6179d, hand_type: OnePair, bid: 392}
Hand { string: 6JT58, score: 61a58, hand_type: OnePair, bid: 375}
Hand { string: 64967, score: 64967, hand_type: OnePair, bid: 417}
Hand { string: 657QQ, score: 657cc, hand_type: OnePair, bid: 929}
Hand { string: 663T5, score: 663a5, hand_type: OnePair, bid: 110}
Hand { string: 66983, score: 66983, hand_type: OnePair, bid: 692}
Hand { string: 68QT8, score: 68ca8, hand_type: OnePair, bid: 837}
Hand { string: 6977A, score: 6977e, hand_type: OnePair, bid: 232}
Hand { string: 69TK9, score: 69ad9, hand_type: OnePair, bid: 420}
Hand { string: 69ATA, score: 69eae, hand_type: OnePair, bid: 538}
Hand { string: 6Q746, score: 6c746, hand_type: OnePair, bid: 964}
Hand { string: 6A229, score: 6e229, hand_type: OnePair, bid: 240}
Hand { string: 6A7J5, score: 6e715, hand_type: OnePair, bid: 839}
Hand { string: 7J23K, score: 7123d, hand_type: OnePair, bid: 734}
Hand { string: 7J38K, score: 7138d, hand_type: OnePair, bid: 663}
Hand { string: 7JA49, score: 71e49, hand_type: OnePair, bid: 735}
Hand { string: 74KQ4, score: 74dc4, hand_type: OnePair, bid: 177}
Hand { string: 766TK, score: 766ad, hand_type: OnePair, bid: 641}
Hand { string: 76Q8Q, score: 76c8c, hand_type: OnePair, bid: 472}
Hand { string: 778TK, score: 778ad, hand_type: OnePair, bid: 997}
Hand { string: 7866K, score: 7866d, hand_type: OnePair, bid: 95}
Hand { string: 78TJA, score: 78a1e, hand_type: OnePair, bid: 892}
Hand { string: 7939K, score: 7939d, hand_type: OnePair, bid: 580}
Hand { string: 7T29J, score: 7a291, hand_type: OnePair, bid: 355}
Hand { string: 7T445, score: 7a445, hand_type: OnePair, bid: 649}
Hand { string: 7K3J6, score: 7d316, hand_type: OnePair, bid: 941}
Hand { string: 7A3J6, score: 7e316, hand_type: OnePair, bid: 156}
Hand { string: 7AK2A, score: 7ed2e, hand_type: OnePair, bid: 747}
Hand { string: 7AK33, score: 7ed33, hand_type: OnePair, bid: 853}
Hand { string: 8J3QT, score: 813ca, hand_type: OnePair, bid: 90}
Hand { string: 82K27, score: 82d27, hand_type: OnePair, bid: 810}
Hand { string: 83T86, score: 83a86, hand_type: OnePair, bid: 387}
Hand { string: 843A8, score: 843e8, hand_type: OnePair, bid: 444}
Hand { string: 85478, score: 85478, hand_type: OnePair, bid: 25}
Hand { string: 86248, score: 86248, hand_type: OnePair, bid: 764}
Hand { string: 8656T, score: 8656a, hand_type: OnePair, bid: 707}
Hand { string: 87J3Q, score: 8713c, hand_type: OnePair, bid: 363}
Hand { string: 89KK6, score: 89dd6, hand_type: OnePair, bid: 290}
Hand { string: 8Q3J5, score: 8c315, hand_type: OnePair, bid: 467}
Hand { string: 8Q79J, score: 8c791, hand_type: OnePair, bid: 748}
Hand { string: 8Q99A, score: 8c99e, hand_type: OnePair, bid: 873}
Hand { string: 8QAJ5, score: 8ce15, hand_type: OnePair, bid: 887}
Hand { string: 8QA2A, score: 8ce2e, hand_type: OnePair, bid: 614}
Hand { string: 8K6TJ, score: 8d6a1, hand_type: OnePair, bid: 167}
Hand { string: 8K85T, score: 8d85a, hand_type: OnePair, bid: 412}
Hand { string: 8KA84, score: 8de84, hand_type: OnePair, bid: 453}
Hand { string: 8A233, score: 8e233, hand_type: OnePair, bid: 215}
Hand { string: 8AQTJ, score: 8eca1, hand_type: OnePair, bid: 158}
Hand { string: 92286, score: 92286, hand_type: OnePair, bid: 842}
Hand { string: 924JA, score: 9241e, hand_type: OnePair, bid: 631}
Hand { string: 9329Q, score: 9329c, hand_type: OnePair, bid: 299}
Hand { string: 93778, score: 93778, hand_type: OnePair, bid: 289}
Hand { string: 93T44, score: 93a44, hand_type: OnePair, bid: 743}
Hand { string: 94AK9, score: 94ed9, hand_type: OnePair, bid: 497}
Hand { string: 958QQ, score: 958cc, hand_type: OnePair, bid: 49}
Hand { string: 965QJ, score: 965c1, hand_type: OnePair, bid: 902}
Hand { string: 98728, score: 98728, hand_type: OnePair, bid: 411}
Hand { string: 995Q7, score: 995c7, hand_type: OnePair, bid: 281}
Hand { string: 996T4, score: 996a4, hand_type: OnePair, bid: 402}
Hand { string: 9TJ4K, score: 9a14d, hand_type: OnePair, bid: 231}
Hand { string: 9T2J3, score: 9a213, hand_type: OnePair, bid: 347}
Hand { string: 9KK47, score: 9dd47, hand_type: OnePair, bid: 560}
Hand { string: 9AT49, score: 9ea49, hand_type: OnePair, bid: 985}
Hand { string: 9AT8A, score: 9ea8e, hand_type: OnePair, bid: 597}
Hand { string: TJ285, score: a1285, hand_type: OnePair, bid: 722}
Hand { string: TJ957, score: a1957, hand_type: OnePair, bid: 819}
Hand { string: T368T, score: a368a, hand_type: OnePair, bid: 54}
Hand { string: T3AJQ, score: a3e1c, hand_type: OnePair, bid: 443}
Hand { string: T3A6T, score: a3e6a, hand_type: OnePair, bid: 668}
Hand { string: T429J, score: a4291, hand_type: OnePair, bid: 603}
Hand { string: T45JA, score: a451e, hand_type: OnePair, bid: 514}
Hand { string: T4772, score: a4772, hand_type: OnePair, bid: 326}
Hand { string: T5547, score: a5547, hand_type: OnePair, bid: 708}
Hand { string: T5797, score: a5797, hand_type: OnePair, bid: 847}
Hand { string: T625J, score: a6251, hand_type: OnePair, bid: 154}
Hand { string: T6K4T, score: a6d4a, hand_type: OnePair, bid: 395}
Hand { string: T78TQ, score: a78ac, hand_type: OnePair, bid: 250}
Hand { string: T89AT, score: a89ea, hand_type: OnePair, bid: 314}
Hand { string: TK554, score: ad554, hand_type: OnePair, bid: 671}
Hand { string: TA988, score: ae988, hand_type: OnePair, bid: 890}
Hand { string: Q665K, score: c665d, hand_type: OnePair, bid: 57}
Hand { string: Q7KTJ, score: c7da1, hand_type: OnePair, bid: 489}
Hand { string: Q947J, score: c9471, hand_type: OnePair, bid: 162}
Hand { string: QQ85T, score: cc85a, hand_type: OnePair, bid: 466}
Hand { string: QK28Q, score: cd28c, hand_type: OnePair, bid: 383}
Hand { string: QA2A6, score: ce2e6, hand_type: OnePair, bid: 864}
Hand { string: QA5TJ, score: ce5a1, hand_type: OnePair, bid: 17}
Hand { string: KJ537, score: d1537, hand_type: OnePair, bid: 89}
Hand { string: K34JQ, score: d341c, hand_type: OnePair, bid: 776}
Hand { string: K3565, score: d3565, hand_type: OnePair, bid: 66}
Hand { string: K5232, score: d5232, hand_type: OnePair, bid: 221}
Hand { string: K59AK, score: d59ed, hand_type: OnePair, bid: 18}
Hand { string: K5T7J, score: d5a71, hand_type: OnePair, bid: 186}
Hand { string: K7QQ5, score: d7cc5, hand_type: OnePair, bid: 914}
Hand { string: K7A7T, score: d7e7a, hand_type: OnePair, bid: 592}
Hand { string: K88TA, score: d88ae, hand_type: OnePair, bid: 710}
Hand { string: KT8AJ, score: da8e1, hand_type: OnePair, bid: 96}
Hand { string: KQ7T7, score: dc7a7, hand_type: OnePair, bid: 949}
Hand { string: KQ8J2, score: dc812, hand_type: OnePair, bid: 198}
Hand { string: KA65A, score: de65e, hand_type: OnePair, bid: 459}
Hand { string: A2Q66, score: e2c66, hand_type: OnePair, bid: 981}
Hand { string: A32A7, score: e32e7, hand_type: OnePair, bid: 333}
Hand { string: A38A9, score: e38e9, hand_type: OnePair, bid: 454}
Hand { string: A4339, score: e4339, hand_type: OnePair, bid: 669}
Hand { string: A647A, score: e647e, hand_type: OnePair, bid: 178}
Hand { string: A6652, score: e6652, hand_type: OnePair, bid: 519}
Hand { string: A856J, score: e8561, hand_type: OnePair, bid: 116}
Hand { string: A8QTQ, score: e8cac, hand_type: OnePair, bid: 341}
Hand { string: A8A5Q, score: e8e5c, hand_type: OnePair, bid: 899}
Hand { string: A9K6A, score: e9d6e, hand_type: OnePair, bid: 971}
Hand { string: ATJQ2, score: ea1c2, hand_type: OnePair, bid: 781}
Hand { string: AT32J, score: ea321, hand_type: OnePair, bid: 98}
Hand { string: AT7T4, score: ea7a4, hand_type: OnePair, bid: 525}
Hand { string: AKJ29, score: ed129, hand_type: OnePair, bid: 721}
Hand { string: AKTJ7, score: eda17, hand_type: OnePair, bid: 159}
Hand { string: 22343, score: 22343, hand_type: TwoPair, bid: 67}
Hand { string: 22AA5, score: 22ee5, hand_type: TwoPair, bid: 388}
Hand { string: 24248, score: 24248, hand_type: TwoPair, bid: 222}
Hand { string: 26628, score: 26628, hand_type: TwoPair, bid: 71}
Hand { string: 2Q27Q, score: 2c27c, hand_type: TwoPair, bid: 247}
Hand { string: 2KK28, score: 2dd28, hand_type: TwoPair, bid: 975}
Hand { string: 2A323, score: 2e323, hand_type: TwoPair, bid: 802}
Hand { string: 32299, score: 32299, hand_type: TwoPair, bid: 613}
Hand { string: 32532, score: 32532, hand_type: TwoPair, bid: 612}
Hand { string: 32535, score: 32535, hand_type: TwoPair, bid: 226}
Hand { string: 33T2T, score: 33a2a, hand_type: TwoPair, bid: 905}
Hand { string: 35883, score: 35883, hand_type: TwoPair, bid: 218}
Hand { string: 36388, score: 36388, hand_type: TwoPair, bid: 921}
Hand { string: 366T3, score: 366a3, hand_type: TwoPair, bid: 204}
Hand { string: 37273, score: 37273, hand_type: TwoPair, bid: 656}
Hand { string: 37366, score: 37366, hand_type: TwoPair, bid: 505}
Hand { string: 39K39, score: 39d39, hand_type: TwoPair, bid: 128}
Hand { string: 3T322, score: 3a322, hand_type: TwoPair, bid: 554}
Hand { string: 3T993, score: 3a993, hand_type: TwoPair, bid: 362}
Hand { string: 3K7K3, score: 3d7d3, hand_type: TwoPair, bid: 953}
Hand { string: 3K883, score: 3d883, hand_type: TwoPair, bid: 273}
Hand { string: 3KK63, score: 3dd63, hand_type: TwoPair, bid: 427}
Hand { string: 3A3A7, score: 3e3e7, hand_type: TwoPair, bid: 556}
Hand { string: 3A9A9, score: 3e9e9, hand_type: TwoPair, bid: 72}
Hand { string: 3ATT3, score: 3eaa3, hand_type: TwoPair, bid: 217}
Hand { string: 42AA4, score: 42ee4, hand_type: TwoPair, bid: 720}
Hand { string: 44A3A, score: 44e3e, hand_type: TwoPair, bid: 562}
Hand { string: 46A64, score: 46e64, hand_type: TwoPair, bid: 369}
Hand { string: 48338, score: 48338, hand_type: TwoPair, bid: 442}
Hand { string: 49489, score: 49489, hand_type: TwoPair, bid: 959}
Hand { string: 4T94T, score: 4a94a, hand_type: TwoPair, bid: 825}
Hand { string: 52852, score: 52852, hand_type: TwoPair, bid: 55}
Hand { string: 53365, score: 53365, hand_type: TwoPair, bid: 190}
Hand { string: 55994, score: 55994, hand_type: TwoPair, bid: 229}
Hand { string: 599AA, score: 599ee, hand_type: TwoPair, bid: 474}
Hand { string: 5T5T3, score: 5a5a3, hand_type: TwoPair, bid: 354}
Hand { string: 64545, score: 64545, hand_type: TwoPair, bid: 382}
Hand { string: 64994, score: 64994, hand_type: TwoPair, bid: 817}
Hand { string: 66355, score: 66355, hand_type: TwoPair, bid: 659}
Hand { string: 66525, score: 66525, hand_type: TwoPair, bid: 894}
Hand { string: 6655A, score: 6655e, hand_type: TwoPair, bid: 351}
Hand { string: 68786, score: 68786, hand_type: TwoPair, bid: 916}
Hand { string: 696QQ, score: 696cc, hand_type: TwoPair, bid: 69}
Hand { string: 6Q336, score: 6c336, hand_type: TwoPair, bid: 368}
Hand { string: 6Q6Q2, score: 6c6c2, hand_type: TwoPair, bid: 704}
Hand { string: 6Q6QT, score: 6c6ca, hand_type: TwoPair, bid: 645}
Hand { string: 6Q7Q7, score: 6c7c7, hand_type: TwoPair, bid: 859}
Hand { string: 6Q996, score: 6c996, hand_type: TwoPair, bid: 384}
Hand { string: 6QQ44, score: 6cc44, hand_type: TwoPair, bid: 118}
Hand { string: 6K64K, score: 6d64d, hand_type: TwoPair, bid: 320}
Hand { string: 72275, score: 72275, hand_type: TwoPair, bid: 145}
Hand { string: 722TT, score: 722aa, hand_type: TwoPair, bid: 624}
Hand { string: 73T37, score: 73a37, hand_type: TwoPair, bid: 602}
Hand { string: 73A37, score: 73e37, hand_type: TwoPair, bid: 881}
Hand { string: 747T4, score: 747a4, hand_type: TwoPair, bid: 541}
Hand { string: 75566, score: 75566, hand_type: TwoPair, bid: 324}
Hand { string: 75TT7, score: 75aa7, hand_type: TwoPair, bid: 468}
Hand { string: 77699, score: 77699, hand_type: TwoPair, bid: 269}
Hand { string: 77KTK, score: 77dad, hand_type: TwoPair, bid: 35}
Hand { string: 77KQQ, score: 77dcc, hand_type: TwoPair, bid: 224}
Hand { string: 78278, score: 78278, hand_type: TwoPair, bid: 136}
